Name,Rarity,Armor,Magic Armor,Base Stats,Attributes,Dropped By,Locations
Contender's Chain,3: Legendary,,,"- Vitality {3, 18}","- Damage to Physical {1, 16}",- Maximus,
Dark Steel Locket,3: Legendary,"{8, 54}","{8, 54}","- Might {2, 9}","- Physical Damage {4,20}%",- Herald of the Abyss,"- SunkenSwamplands Night
   - SunkenSwamplands Day
   - CastleGloom Day"
Drake Eye Pendant,3: Legendary,"{8, 54}","{8, 54}","- Might {2, 9}","- Health Per Turn {6, 78}",- Global Loot,
Elemental Chain,3: Legendary,,,"- Vitality {3, 18}","- Damage to Cold {1, 12}
   - Damage to Fire {1, 12}
   - Damage to Lightning {1, 12}",- Global Loot,
Martyr's Chain,3: Legendary,,,"- Might {3, 18}","- Max Health -15%
   - Holy Power {5,25}%",- Emperor Marcus,
Mithril Pendant,3: Legendary,"{8, 54}","{8, 54}","- Might {3, 18}
   - Vitality {2, 9}",,- Global Loot,
Orichalcum Chain,3: Legendary,,,"- Might {2, 9}
   - Intelligence {2, 9}","- increased power for mana use 15%
   - Mana Costs 10%",- Crystal Golem,- ForgottenMines Day
Titanium Chain,3: Legendary,"{4, 27}","{4, 27}","- Vitality {2, 9}","- Return Damage Physical {3, 31}",- Global Loot,
Abyssal Chain,4: Mythic,,,"- Might {2, 10}","- Damage and Healing {5,25}%
   - Max Health -20%","- Admiral Blackbeard
   - The Dead One
   - The Prospector","- SunkenSwamplands Night
   - WaterTempleRuins Night
   - CastleGloom Day
   - ForgottenMines Day
   - SunkenSwamplands Day"
Adamant Chain,4: Mythic,"{13, 86}","{13, 86}","- Might {2, 10}
   - Vitality {2, 10}",- Damage Reduction 5%,- Dwarven Warmachine,- DwarvenHalls Day
Amulet of Brilliance,4: Mythic,,,"- Intelligence {6, 39}",,- Global Loot,
Amulet of Power,4: Mythic,,,"- Might {6, 39}",,"- Lord Infernicus (Event)
   - The Forgemaster",- Emberlands Day
Black Dragon Eye,4: Mythic,,,"- Vitality {2, 10}","- Damage to Shadow {2, 25}",- Black Dragon,- CastleGloom Day
Blue Dragon Eye,4: Mythic,,,"- Vitality {2, 10}","- Damage to Cold {1, 17}",- Blue Dragon,"- FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Dragon's Blood Amulet,4: Mythic,"{11, 72}","{11, 72}","- Might {2, 10}","- Health Per Turn {21, 143}","- Black Dragon
   - Blue Dragon
   - Green Dragon
   - Red Dragon","- FreewindForest Night
   - FrostwroughtMountain Night
   - FrostwroughtMountain Day
   - FreewindForest Day
   - CastleGloom Day
   - Emberlands Day"
Draught of Life,4: Mythic,,,"- Vitality {6, 39}",,"- Avatar of Xotec
   - Medusa","- WaterTempleRuins Night
   - WaterTempleRuins Day
   - EmeraldJungle Night
   - EmeraldJungle Day"
Ethereal Charm,4: Mythic,,,"- Reflex {6, 39}",,- Global Loot,
Green Dragon Eye,4: Mythic,,,"- Dexterity {2, 10}","- Damage to Lightning {2, 25}",- Green Dragon,"- FreewindForest Night
   - FreewindForest Day"
Pendant of Cunning,4: Mythic,,,"- Dexterity {6, 39}",,- Global Loot,
Razor Wire,4: Mythic,"{15, 100}","{15, 100}","- Vitality {3, 20}","- Return Damage Physical Source[""Armor""] * .02f
   - Gain Added Return Damage Physical equal to 2% of your Armor.","- The Risen Witch (Event)
   - The Witch
   - Twisted Soul of the Swamp","- SunkenSwamplands Day
   - SunkenSwamplands Night"
Red Dragon Eye,4: Mythic,,,"- Vitality {2, 10}","- Damage to Fire {2, 25}",- Red Dragon,- Emberlands Day
Sunstone Necklace,4: Mythic,,,"- Might {3, 20}
   - Intelligence {3, 20}","- 10% chance to cast Level [level value] {SKL=Blinding Light} when 
   hitting with any ability.",- The Sun Queen,"- WyrmrestDesert Night
   - WyrmrestDesert Day"
Valler's Pocket Watch,4: Mythic,,,- Vitality {20},"- -1 All Cooldowns
   - Mana Cost -20%","- The Broker
   - The Mad Mage (Event)","- Emberlands Day
   - Emberlands Night"
