Name,Rarity,Type,Attack Power,Damage Type,Base Stats,Attributes,Dropped By,Locations
Staff,0: Common,Staff,"{10.5, 68.5}",Fire,"- Might {2, 14}
   - Intelligence {2, 14}",,- Global Loot,
Stone Axe,0: Common,Axe_1H,"{6.5, 39.5}",Physical,"- Vitality {2, 9}",,- Global Loot,
Stone Dagger,0: Common,Sword_1H,"{6.5, 39.5}",Physical,"- Dexterity {2, 14}",,- Global Loot,
Stone Hammer,0: Common,Mace_1H,"{6.5, 41.5}",Physical,,,- Global Loot,
Two-Handed Axe,0: Common,Axe_2H,"{17.5, 113.5}",Physical,"- Vitality {3, 21}",,- Global Loot,
Walking Stick,0: Common,Staff,"{10.5, 68.5}",Fire,"- Vitality {1, 7}
   - Intelligence {3, 21}",,- Global Loot,
Wand,0: Common,Wand,"{4.5, 28.5}",Fire,"- Might {2, 9}
   - Intelligence {2, 9}",,- Global Loot,
Wooden Mallet,0: Common,Mace_2H,"{17.5, 113.5}",Physical,,,- Global Loot,
Boarding Axe,1: Uncommon,Axe_1H,"{7.5, 48.5}",Physical,"- Might {3, 15}",,- Global Loot,
Bone Shiv,1: Uncommon,Sword_1H,"{7.5, 43.5}",Shadow,"- Dexterity {3, 15}",,- Global Loot,
Bowie Knife,1: Uncommon,Sword_1H,"{8.5, 54.5}",Physical,,,- Global Loot,
Brass Knuckles,1: Uncommon,FistWeapon,"{7.5, 45.5}",Physical,"- Might {2, 8}
   - Dexterity {2, 8}",,- Global Loot,
Broadsword,1: Uncommon,Sword_1H,"{8.5, 50.5}",Physical,"- Might {2, 8}
   - Vitality {2, 8}",,- Global Loot,
Concealed Pistol,1: Uncommon,Gun_1H,"{6.5, 38.5}",Physical,"- Dexterity {3, 15}",,- Global Loot,
Copper Knuckles,1: Uncommon,FistWeapon,"{7.5, 45.5}",Physical,"- Dexterity {2, 8}
   - Reflex {2, 8}",,- Global Loot,
Cutlass,1: Uncommon,Sword_1H,"{7.5, 45.5}",Physical,"- Might {2, 8}
   - Dexterity {2, 8}",,- Global Loot,
Femur,1: Uncommon,Wand,"{4.5, 21.5}",Shadow,"- Might {2, 8}","- Summon Damage {1.5,7.5}%",- Global Loot,
Flintlock Pistol,1: Uncommon,Gun_1H,"{6.5, 38.5}",Physical,"- Might {2, 8}
   - Dexterity {2, 8}",,- Global Loot,
Forkaxe,1: Uncommon,Polearm,"{17.5, 113.5}",Physical,"- Dexterity {3, 15}
   - Vitality {3, 15}",,- Global Loot,
Gemstone Baton,1: Uncommon,Staff,"{11.5, 75.5}",Cold,"- Reflex {7, 45}",,- Global Loot,
Gemstone Cane,1: Uncommon,Staff,"{11.5, 75.5}",Cold,"- Vitality {3, 15}
   - Intelligence {3, 15}
   - Reflex {3, 15}",,- Global Loot,
Gemstone Ritual Staff,1: Uncommon,Staff,"{11.5, 75.5}",Lightning,"- Might {3, 15}
   - Intelligence {3, 15}","- Summon Damage {2,10}%
   - Summon Health {2,10}%",- Global Loot,
Gemstone Shillelagh,1: Uncommon,Staff,"{11.5, 75.5}",Fire,"- Might {7, 45}",,- Global Loot,
Gemstone Staff,1: Uncommon,Staff,"{11.5, 75.5}",Lightning,"- Intelligence {7, 45}",,- Global Loot,
Gemstone Wand,1: Uncommon,Wand,"{5.5, 30.5}",Fire,"- Might {4, 23}",,- Global Loot,
Gemstone Wand Rod,1: Uncommon,Wand,"{5.5, 30.5}",Lightning,"- Intelligence {4, 23}",,- Global Loot,
Gemstone Wand Sprig,1: Uncommon,Wand,"{5.5, 30.5}",Cold,"- Reflex {4, 23}",,- Global Loot,
Glaive,1: Uncommon,Polearm,"{19.5, 124.5}",Physical,"- Might {4, 23}
   - Dexterity {2, 8}",,- Global Loot,
Goblin Club,1: Uncommon,Mace_1H,"{7.5, 48.5}",Physical,"- Might {3, 15}",,- Global Loot,
Goblin Matchete,1: Uncommon,Sword_1H,"{8.5, 54.5}",Physical,,,- Global Loot,
Goblin Spear,1: Uncommon,Polearm,"{17.5, 113.5}",Physical,"- Might {3, 15}
   - Dexterity {3, 15}",,- Global Loot,
Guard's Spear,1: Uncommon,Polearm,"{17.5, 113.5}",Physical,"- Vitality {5, 30}",,- Global Loot,
Halberd,1: Uncommon,Polearm,"{19.5, 124.5}",Physical,"- Might {4, 23}
   - Vitality {2, 8}",,- Global Loot,
Half-Halberd,1: Uncommon,Polearm,"{17.5, 113.5}",Physical,"- Might {5, 30}",,- Global Loot,
Hand Axe,1: Uncommon,Axe_1H,"{6.5, 41.5}",Physical,"- Might {2, 9}
   - Dexterity {2, 9}",,- Global Loot,
Harpoon,1: Uncommon,Polearm,"{17.5, 113.5}",Physical,"- Dexterity {5, 30}",,- Global Loot,
Hatchet,1: Uncommon,Axe_1H,"{7.5, 45.5}",Physical,"- Might {2, 8}
   - Vitality {2, 8}",,- Global Loot,
Hunting Knife,1: Uncommon,Sword_1H,"{7.5, 45.5}",Physical,"- Dexterity {3, 15}",,- Global Loot,
Kunai,1: Uncommon,Sword_1H,"{8.5, 50.5}",Physical,"- Dexterity {3, 15}",,- Global Loot,
Longbow,1: Uncommon,Bow,"{14.5, 95.5}",Physical,"- Might {3, 15}
   - Dexterity {3, 15}",,- Global Loot,
Longsword,1: Uncommon,Sword_1H,"{7.5, 48.5}",Physical,"- Might {3, 15}",,- Global Loot,
Mace,1: Uncommon,Mace_1H,"{6.5, 36.5}",Physical,"- Might {2, 8}","- Return Damage Physical {2, 26}",- Global Loot,
Musket Pistol,1: Uncommon,Gun_1H,"{6.5, 38.5}",Physical,"- Might {2, 8}
   - Dexterity {2, 8}",,- Global Loot,
Musketoon,1: Uncommon,Gun_2H,"{14.5, 90.5}",Physical,"- Might {3, 15}
   - Dexterity {2, 8}
   - Vitality {2, 8}",,- Global Loot,
Mystic Blade,1: Uncommon,Sword_1H,"{6.5, 36.5}",Physical,"- Intelligence {3, 15}
   - Reflex {2, 8}",,- Global Loot,
Pike,1: Uncommon,Polearm,"{19.5, 124.5}",Physical,"- Might {3, 15}
   - Dexterity {2, 8}
   - Vitality {2, 8}",,- Global Loot,
Pirate's Cutlass,1: Uncommon,Sword_1H,"{8.5, 50.5}",Physical,"- Dexterity {3, 15}",,- Global Loot,
Poleaxe,1: Uncommon,Polearm,"{17.5, 109.5}",Physical,"- Might {2, 8}
   - Dexterity {2, 8}
   - Vitality {3, 15}",,- Global Loot,
Raider Axe,1: Uncommon,Axe_2H,"{21.5, 137.5}",Physical,,,- Global Loot,
Ritual Blade,1: Uncommon,Sword_1H,"{6.5, 39.5}",Physical,"- Might {2, 8}
   - Vitality {3, 15}
   - Intelligence {3, 15}",,- Global Loot,
Sabre,1: Uncommon,Sword_1H,"{8.5, 51.5}",Physical,"- Vitality {2, 8}
   - Reflex {2, 8}",,- Global Loot,
Sand Sultan Simitar,1: Uncommon,Sword_1H,"{7.5, 45.5}",Physical,"- Dexterity {2, 8}
   - Reflex {2, 8}",,- Global Loot,
Scimitar,1: Uncommon,Sword_1H,"{6.5, 41.5}",Physical,"- Vitality {2, 8}
   - Reflex {2, 8}",,- Global Loot,
Shovel,1: Uncommon,Polearm,"{20.0, 135.5}",Cold,,,- Grave Digger,"- SunkenSwamplands Night
   - SunkenSwamplands Day
   - CastleGloom Day"
Snub Nose Musket,1: Uncommon,Gun_2H,"{15.5, 101.5}",Physical,"- Might {3, 15}
   - Vitality {3, 15}",,- Global Loot,
Spear,1: Uncommon,Polearm,"{16.5, 107.5}",Physical,"- Dexterity {3, 15}",,- Global Loot,
Spiked Mace,1: Uncommon,Mace_1H,"{6.5, 36.5}",Physical,"- Vitality {2, 8}","- Return Damage Physical {2, 26}",- Global Loot,
Steel Knuckles,1: Uncommon,FistWeapon,"{8.5, 54.5}",Physical,"- Might {2, 8}",,- Global Loot,
Straight Sword,1: Uncommon,Sword_1H,"{9.5, 57.5}",Physical,,,- Global Loot,
Viking Axe,1: Uncommon,Axe_1H,"{8.5, 52.5}",Physical,"- Might {3, 15}",,- Global Loot,
Viking Hammer,1: Uncommon,Mace_1H,"{8.5, 52.5}",Physical,"- Might {2, 8}
   - Vitality {2, 8}",,- Global Loot,
Viking Warhammer,1: Uncommon,Mace_2H,"{18.5, 118.5}",Physical,"- Might {3, 15}
   - Vitality {2, 8}
   - Reflex {2, 8}",,- Global Loot,
Warhammer,1: Uncommon,Mace_1H,"{6.5, 41.5}",Physical,"- Might {2, 8}
   - Vitality {2, 8}
   - Reflex {2, 8}",,- Global Loot,
Battle Hammer,2: Rare,Mace_1H,"{8.5, 49.5}",Physical,"- Might {3, 17}",,- Global Loot,
Blade Fist,2: Rare,FistWeapon,"{8.5, 49.5}",Physical,"- Might {1, 7}
   - Dexterity {1, 7}
   - Reflex {1, 7}",,- Ronin,"- FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Blood Runed Cleaver,2: Rare,Axe_1H,"{10.5, 64.5}",Physical,,- % Life Steal 3,- The Baron,- CastleGloom Day
Bloodletter,2: Rare,Sword_1H,"{8.5, 54.5}",Physical,,- % Life Steal 3,"- Samare the Vampire (Event)
   - The Duke
   - Avatar of Xotec
   - Medusa","- WaterTempleRuins Night
   - EmeraldJungle Day
   - CastleGloom Day
   - WaterTempleRuins Day
   - EmeraldJungle Night"
Blunderbuss,2: Rare,Gun_2H,"{16.5, 108.5}",Physical,"- Might {4, 25}",,- The Ember King,- Emberlands Day
Bone Shard,2: Rare,Wand,"{5.5, 33.5}",Shadow,"- Vitality {2, 9}
   - Intelligence {2, 9}","- Summon Damage {2,10}%
   - Summon Limit 1","- Dark Cultist Conjuror
   - The Bishop (Event)
   - The Butcher","- SunkenSwamplands Night
   - SunkenSwamplands Day
   - CastleGloom Day"
Captain's Sidearm,2: Rare,Gun_1H,"{7.5, 45.5}",Physical,"- Reflex {3, 17}","- Dodge Counter Damage {5,25}%","- Admiral Blackbeard
   - Captain of the Emerald Eel
   - Captain of the Ruby Rum
   - Captain of the Sapphire Sea","- WaterTempleRuins Night
   - WaterTempleRuins Day"
Ceremonial Spear,2: Rare,Polearm,"{21.5, 141.5}",Physical,"- Dexterity {4, 25}",,- Global Loot,
Cestus,2: Rare,FistWeapon,"{7.5, 45.5}",Physical,"- Dexterity {2, 13}","- Additional Weapon Damage Source[""Dexterity""] * .05f
   - Gain Additional Weapon Damage equal to 5% of your Dexterity.",- Unchained Efreet,"- WyrmrestDesert Night
   - WyrmrestDesert Day"
Cleric's Hammer,2: Rare,Mace_1H,"{6.5, 40.0}",Physical,"- Vitality {2, 9}
   - Intelligence {2, 9}","- Holy Power {1.5,7.5}%","- The Countess
   - Cleric","- FrostwroughtMountain Night
   - FrostwroughtMountain Day
   - WaterTempleRuins Night
   - CastleGloom Day
   - WaterTempleRuins Day"
Coach Gun,2: Rare,Gun_2H,"{17.5, 113.5}",Physical,"- Might {5, 33}",,- Global Loot,
Composite Longbow,2: Rare,Bow,"{15.5, 98.5}",Physical,"- Might {4, 25}
   - Dexterity {2, 9}",,- Global Loot,
Conduit Rod,2: Rare,Staff,"{12.5, 82.5}",Lightning,"- Dexterity {3, 17}
   - Intelligence {2, 9}
   - Reflex {2, 9}","- Lightning Damage {3,15}%","- Ragnar
   - Apparition","- FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Corrupted Shard,2: Rare,Sword_1H,"{6.5, 40.0}",Shadow,,- Striking with this weapon applies 1 stack of poison.,"- The Risen Witch (Event)
   - The Witch
   - Twisted Soul of the Swamp","- SunkenSwamplands Day
   - SunkenSwamplands Night"
Cruel Blade,2: Rare,Sword_1H,"{6.5, 40.0}",Physical,"- Might {2, 9}","- Return Damage Physical {2, 29}","- The Gobfather
   - The Pale Goblin
   - The Broker","- DwarvenHalls Day
   - WyrmrestDesert Night
   - WyrmrestDesert Day
   - Emberlands Day"
Crystal Baton,2: Rare,Staff,"{12.5, 82.5}",Fire,"- Might {3, 17}
   - Dexterity {3, 17}
   - Intelligence {3, 17}",,"- Lord Infernicus (Event)
   - The Forgemaster",- Emberlands Day
Crystal Cane,2: Rare,Staff,"{12.5, 82.5}",Cold,"- Reflex {8, 49}",,- Global Loot,
Crystal Rod,2: Rare,Staff,"{12.5, 82.5}",Lightning,"- Intelligence {8, 49}",,- Dwarven Warmachine,- DwarvenHalls Day
Crystal Shillelagh,2: Rare,Staff,"{12.5, 82.5}",Lightning,"- Might {8, 49}",,- Crystal Golem,- ForgottenMines Day
Crystal Staff,2: Rare,Staff,"{12.5, 82.5}",Fire,"- Vitality {3, 17}
   - Intelligence {3, 17}
   - Reflex {3, 17}",,- Global Loot,
Dwarven Greatsword,2: Rare,Sword_2H,"{23.5, 154.5}",Physical,"- Vitality {4, 25}",,"- Dwarven Sword Maiden
   - Mountain King Ironheart",- DwarvenHalls Day
Dwarven Handaxe,2: Rare,Axe_1H,"{9.5, 57.5}",Physical,,"- Basic attacks have a 15% chance to proc an additional attack once per 
   turn.","- Dwarven Flamesmith
   - Mountain King Ironheart",- DwarvenHalls Day
Dwarven Morningstar,2: Rare,Sword_1H,"{6.5, 40.0}",Physical,"- Might {2, 9}
   - Vitality {2, 9}","- Return Damage Physical {2, 29}","- Dwarven Shield
   - Mountain King Ironheart",- DwarvenHalls Day
Dwarven Pickaxe,2: Rare,Axe_2H,"{20.0, 135.5}",Physical,"- Might {3, 17}
   - Vitality {3, 17}",,"- Mountain King Ironheart
   - Dwarven Miner
   - The Prospector","- ForgottenMines Day
   - DwarvenHalls Day"
Dwarven Sceptre,2: Rare,Staff,"{12.5, 82.5}",Fire,"- Might {3, 17}
   - Vitality {3, 17}
   - Intelligence {3, 17}",,- Mountain King Ironheart,- DwarvenHalls Day
Dwarven Spellhammer,2: Rare,Mace_1H,"{6.5, 37.5}",Physical,"- Vitality {2, 13}
   - Intelligence {2, 13}","- increased power for mana use {2, 9}%","- Dwarven Infantry
   - Mountain King Ironheart",- DwarvenHalls Day
Elder Branch,2: Rare,Staff,"{12.5, 82.5}",Healing,"- Vitality {3, 17}","- Holy Power {3,15}%","- Ursa
   - Forest Giant","- FreewindForest Night
   - FreewindForest Day"
Elegant Blade,2: Rare,Sword_1H,"{8.5, 49.5}",Physical,"- Reflex {3, 17}",,- Global Loot,
Elephant Gun,2: Rare,Gun_2H,"{19.5, 128.5}",Physical,,,"- The Gobfather
   - The Pale Goblin","- DwarvenHalls Day
   - WyrmrestDesert Night
   - WyrmrestDesert Day"
Flanged Mace,2: Rare,Mace_2H,"{18.5, 123.5}",Physical,"- Might {6, 41}",,- Global Loot,
Flintlock Rifle,2: Rare,Gun_2H,"{15.5, 98.5}",Physical,"- Might {4, 25}
   - Dexterity {2, 9}",,"- Admiral Blackbeard
   - Dwarven Warmachine
   - The Prospector
   - Councilor Jahsun","- WaterTempleRuins Night
   - EmeraldJungle Day
   - ForgottenMines Day
   - DwarvenHalls Day
   - EmeraldJungle Night"
Foestave,2: Rare,Polearm,"{22.5, 147.5}",Physical,"- Might {3, 17}",,- The Black Knight,"- SunkenSwamplands Day
   - WyrmrestDesert Night
   - WyrmrestDesert Day
   - SunkenSwamplands Night"
Gatecrasher,2: Rare,Mace_2H,"{18.5, 123.5}",Physical,"- Might {4, 25}",- Grants the skill Slam.,"- Hodr, the Frost Giant (Event)","- FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Gladiator's Spear,2: Rare,Polearm,"{18.5, 123.5}",Physical,"- Might {3, 17}
   - Dexterity {3, 17}",,"- Lucilla
   - Maximus
   - Proximo
   - Valkyrie Commander","- WaterTempleRuins Night
   - WaterTempleRuins Day
   - FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Goblin Bone Axe,2: Rare,Axe_2H,"{22.5, 147.5}",Physical,,- Weapon attacks apply 1 stacks of bleeding.,- Global Loot,
Hero's Blade,2: Rare,Sword_2H,"{18.5, 123.5}",Physical,"- Might {2, 9}
   - Dexterity {2, 9}
   - Vitality {2, 9}",,- Global Loot,
Hunter's Bow,2: Rare,Bow,"{16.5, 108.5}",Physical,"- Might {3, 17}
   - Dexterity {3, 17}",,"- Anthulk
   - The Minotaur",- ForgottenMines Day
Hunting Rifle,3: Legendary,Gun_2H,"{19.5, 128.5}",Physical,,- Attacks with this weapon apply 1 stack of bleeding.,- Global Loot,
Hunting Spear,2: Rare,Polearm,"{20.0, 135.5}",Physical,"- Might {2, 9}
   - Dexterity {4, 25}",,"- Hod
   - Lagertha
   - Ragnar
   - Councilor Jahsun","- EmeraldJungle Night
   - EmeraldJungle Day
   - FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Ice-Runed Axe,2: Rare,Axe_1H,"{9.5, 59.5}",Cold,,"- Cold Damage {1.5,7.5}%",- The Dusk King,"- FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Iron Pistol,2: Rare,Gun_1H,"{7.5, 43.5}",Physical,"- Might {2, 9}
   - Dexterity {2, 9}",,- Blood Mask Boss,"- FreewindForest Night
   - FreewindForest Day"
Iron Scepter,2: Rare,Wand,"{5.5, 33.5}",Fire,"- Might {2, 9}
   - Vitality {2, 9}
   - Intelligence {2, 9}",,- Emperor Marcus,
Knuckle Dagger,2: Rare,Unarmed,"{8.5, 54.5}",Physical,"- Dexterity {2, 9}
   - Vitality {1, 5}",,- Global Loot,
Life-Runed Hatchet,2: Rare,Axe_1H,"{9.5, 62.5}",Physical,,- Max Health 10%,"- Ursa
   - Forest Giant","- FreewindForest Night
   - FreewindForest Day"
Long Bore Handgun,2: Rare,Gun_1H,"{7.5, 45.5}",Physical,"- Might {2, 9}",,- Global Loot,
Mystic Staff,2: Rare,Staff,"{12.5, 82.5}",Fire,"- Might {2, 9}
   - Vitality {2, 9}
   - Intelligence {3, 17}",,- Global Loot,
Obsidian Blade,2: Rare,Sword_1H,"{9.5, 59.5}",Shadow,,,- The Sun Queen,"- WyrmrestDesert Night
   - WyrmrestDesert Day"
Obsidian Dagger,2: Rare,Sword_1H,"{8.5, 54.5}",Shadow,"- Dexterity {3, 17}",,- The Sun Queen,"- WyrmrestDesert Night
   - WyrmrestDesert Day"
Obsidian Hatchet,2: Rare,Axe_1H,"{8.5, 54.5}",Shadow,,"- Shadow Damage {1.5,7.5}%",- The Sun Queen,"- WyrmrestDesert Night
   - WyrmrestDesert Day"
Paladin's Hammer,2: Rare,Mace_2H,"{19.5, 129.5}",Physical,"- Might {3, 17}
   - Vitality {2, 9}",,- Paladin,"- ForgottenMines Day
   - DwarvenHalls Day
   - CastleGloom Day"
Pirate Sidearm,2: Rare,Gun_1H,"{7.5, 45.5}",Physical,"- Might {2, 9}
   - Vitality {2, 9}",,- Global Loot,
Quarterstaff,2: Rare,Polearm,"{18.5, 123.5}",Physical,"- Might {2, 9}
   - Dexterity {2, 9}
   - Vitality {2, 9}
   - Reflex {2, 9}",,- The Minotaur,- ForgottenMines Day
Rapier,2: Rare,Sword_1H,"{8.5, 54.5}",Physical,"- Reflex {3, 17}","- Dodge Counter Damage {6,30}%",- Rogue,"- Emberlands Day
   - FreewindForest Night
   - FreewindForest Day"
Recurve Bow,2: Rare,Bow,"{18.5, 118.5}",Physical,"- Dexterity {2, 9}
   - Reflex {2, 9}",,- Ronin,"- FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Ritual Sword,2: Rare,Sword_2H,"{16.5, 105.5}",Physical,"- Might {3, 17}
   - Intelligence {3, 17}
   - Reflex {2, 9}",,- The Broker,- Emberlands Day
Rockbreaker,2: Rare,Mace_2H,"{18.5, 123.5}",Physical,"- Might {3, 17}",- 15% chance to cast Level [level value] {SKL=Fracture} when striking.,"- Ursa
   - Forest Giant","- FreewindForest Night
   - FreewindForest Day"
Silver-Edged Dagger,2: Rare,Sword_1H,"{9.5, 57.5}",Physical,"- Dexterity {3, 17}",,- Global Loot,
Silver-Edged Longsword,2: Rare,Sword_1H,"{9.5, 57.5}",Physical,"- Might {3, 17}",,"- Herald of the Abyss
   - The Dead One","- SunkenSwamplands Night
   - SunkenSwamplands Day
   - CastleGloom Day"
Silver-Edged Shortsword,2: Rare,Sword_1H,"{9.5, 62.5}",Physical,"- Dexterity {2, 9}",,- Global Loot,
Sledge Hammer,2: Rare,Mace_2H,"{26.5, 172.5}",Physical,,- Dexterity -25%,"- Lady of the Well
   - The Scarecrow","- SunkenSwamplands Night
   - SunkenSwamplands Day
   - CastleGloom Day"
Soldier's Axe,2: Rare,Axe_2H,"{18.5, 123.5}",Physical,"- Might {3, 17}
   - Vitality {3, 17}",,"- The Butcher
   - The Jester
   - Skeleton Knight
   - Testing Character
   - The Pale Knight","- DwarvenHalls Day
   - SunkenSwamplands Night
   - SunkenSwamplands Day
   - CastleGloom Day"
Stalker's Bow,2: Rare,Bow,"{14.5, 94.5}",Physical,"- Dexterity {6, 41}",,- Azug Spikefist,
Steel Dagger,2: Rare,Sword_1H,"{8.5, 54.5}",Physical,"- Dexterity {3, 17}",,- Global Loot,
Stiletto,2: Rare,Sword_1H,"{7.5, 47.5}",Physical,,"- Striking with this weapon has a 50% chance to apply 1 stack of 
   {STA=Bleeding}.",- Global Loot,
Sultan Sword,2: Rare,Sword_2H,"{18.5, 123.5}",Physical,"- Dexterity {5, 33}",,- The Sultan,"- WyrmrestDesert Night
   - WyrmrestDesert Day"
Thief's Blade,2: Rare,Sword_1H,"{8.5, 49.5}",Physical,"- Dexterity {3, 17}",- 25% chance to Steal Status when striking.,- Thief,"- EmeraldJungle Night
   - EmeraldJungle Day"
Tonfa,2: Rare,FistWeapon,"{6.5, 40.0}",Physical,"- Vitality {2, 13}","- Damage to Physical Source[""MaxHealth""] * .01f
   - Gain Additional Physical Damage equal to 1% of your Max Health.",- The Grandmaster,"- FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Tribal Headhunter,2: Rare,Sword_2H,"{17.5, 111.5}",Physical,"- Might {2, 9}
   - Dexterity {2, 9}",- Grants the passive skill Executioner.,"- Avatar of Xotec
   - Medusa","- WaterTempleRuins Night
   - WaterTempleRuins Day
   - EmeraldJungle Night
   - EmeraldJungle Day"
Yari,2: Rare,Polearm,"{22.5, 147.5}",Physical,"- Dexterity {3, 17}",,- Ronin,"- FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Zweihander,2: Rare,Sword_2H,"{20.0, 135.5}",Physical,"- Might {5, 33}",,- The Black Knight,"- SunkenSwamplands Day
   - WyrmrestDesert Night
   - WyrmrestDesert Day
   - SunkenSwamplands Night"
Abyssal Staff,3: Legendary,Staff,"{13.5, 89.5}",Shadow,"- Might {3, 18}
   - Vitality {3, 18}","- Shadow Damage {4,20}%",- The Broker,- Emberlands Day
Ancient Sword,3: Legendary,Sword_1H,"{9.5, 59.5}",Physical,,- 10% chance to cast Level [level value] {SKL=Curse} when striking.,"- Ancient Guardian
   - Ancient Slaver","- WyrmrestDesert Night
   - WyrmrestDesert Day"
Assassin's Edge,3: Legendary,Sword_1H,"{8.5, 54.5}",Physical,"- Dexterity {4, 27}",,"- Blood Mask Boss
   - Assassin","- FreewindForest Night
   - FrostwroughtMountain Night
   - FrostwroughtMountain Day
   - WaterTempleRuins Night
   - FreewindForest Day
   - WaterTempleRuins Day"
Bagh nakha,3: Legendary,FistWeapon,"{8.5, 48.5}",Physical,,"- Basic attacks have a 20% chance to proc an additional attack once per 
   turn.",- Global Loot,
Bishop Staff,3: Legendary,Staff,"{17.5, 115.5}",Healing,"- Vitality {3, 18}
   - Intelligence {3, 18}","- Holy Power {4,20}%",- The Bishop (Event),"- SunkenSwamplands Night
   - SunkenSwamplands Day
   - CastleGloom Day"
Bone Cleaver,3: Legendary,Axe_2H,"{24.5, 160.0}",Physical,"- Might {2, 9}
   - Vitality {2, 9}",- Weapon attacks apply 2 stacks of bleeding.,"- The Bishop (Event)
   - The Butcher
   - The Jester","- SunkenSwamplands Night
   - SunkenSwamplands Day
   - CastleGloom Day"
Crimson Crusher,3: Legendary,Mace_2H,"{23.5, 153.5}",Shadow,"- Might {2, 9}
   - Vitality {2, 9}",- % Life Steal 6,- The Baron,- CastleGloom Day
Crimson Hatchet,3: Legendary,Axe_1H,"{10.5, 64.5}",Shadow,,- % Life Steal 3,"- Samare the Vampire (Event)
   - The Baron
   - The Duke",- CastleGloom Day
Crimson Sceptre,3: Legendary,Staff,"{13.5, 89.5}",Shadow,"- Might {6, 36}",- Mana Steal 5%,- The Countess,- CastleGloom Day
