Name,Rarity,Armor,Magic Armor,Base Stats,Attributes,Dropped By,Locations
Knight's Plate Helm,3: Legendary,"{14, 93}","{14, 93}",,"- Resist Cold 8%
   - Resist Fire 8%
   - Resist Lightning 8%
   - Resist Physical 8%","- Lady of the Well
   - The Butcher
   - The Jester
   - The Scarecrow
   - Knight","- FreewindForest Night
   - SunkenSwamplands Night
   - FreewindForest Day
   - CastleGloom Day
   - Emberlands Day
   - SunkenSwamplands Day"
Lightning Hood,3: Legendary,"{4, 27}","{4, 27}",,"- Max Mana {20, 133}
   - Damage to Lightning {1, 16}",- Global Loot,
Marksman's Cap,3: Legendary,"{4, 27}","{4, 27}","- Might {2, 9}
   - Dexterity {2, 9}","- Skill Range 2
   - Basic attacks have a 20% chance to proc an additional attack once per 
   turn.",- Global Loot,
Plague Mask,3: Legendary,"{4, 27}","{4, 27}","- Vitality {4, 27}
   - Reflex {3, 18}","- Shadow Damage {4,20}%
   - Attacks apply 1 stack of poison.","- Plague Doctor
   - The Risen Witch (Event)
   - The Witch
   - Twisted Soul of the Swamp","- SunkenSwamplands Night
   - SunkenSwamplands Day
   - CastleGloom Day"
Praetorian Helm,3: Legendary,"{10, 67}","{14, 93}","- Might {2, 9}
   - Dexterity {2, 9}
   - Vitality {2, 9}",- Skill Range 1,"- Emperor Marcus
   - Olgoi, Devourer of Treasure",- DwarvenHalls Day
Shadowstalker Mask,3: Legendary,"{4, 27}","{4, 27}","- Dexterity {7, 45}
   - Reflex {2, 9}",- 15% chance to cast Stealth on turn start.,- Global Loot,
Stag Helm,3: Legendary,"{16, 107}","{16, 107}","- Vitality {2, 9}
   - Reflex {3, 18}",,- Global Loot,
Summoner's Hat,3: Legendary,"{4, 22}","{5, 32}","- Might {2, 9}
   - Intelligence {2, 9}","- Summon Damage {3,15}%
   - Summon Health {3,15}%","- The Dusk King
   - The Dead One","- FrostwroughtMountain Night
   - SunkenSwamplands Night
   - FrostwroughtMountain Day
   - CastleGloom Day
   - SunkenSwamplands Day"
Sunwalker Hood,3: Legendary,"{4, 22}","{5, 32}","- Might {3, 18}
   - Intelligence {3, 18}","- Holy Power {4,20}%",- Valkyrie Commander,"- WaterTempleRuins Night
   - WaterTempleRuins Day
   - FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Thunder Hat,3: Legendary,"{4, 27}","{4, 27}","- Dexterity {3, 18}
   - Vitality {2, 9}
   - Intelligence {2, 9}","- Lightning Damage {4,20}%",- Tlaloc the Storm,"- WaterTempleRuins Night
   - WaterTempleRuins Day
   - EmeraldJungle Night
   - EmeraldJungle Day"
Wizard's Hat,3: Legendary,"{3, 16}","{6, 38}","- Might {2, 9}
   - Dexterity {2, 9}
   - Vitality {2, 9}
   - Intelligence {2, 9}","- Cold Damage {3,15}%
   - Fire Damage {3,15}%
   - Lightning Damage {3,15}%","- Crystal Golem
   - Spellweaver Stormcaller","- WaterTempleRuins Night
   - ForgottenMines Day
   - WaterTempleRuins Day"
Adamant Helm,4: Mythic,"{21, 143}","{21, 143}","- Might {2, 10}
   - Vitality {2, 10}",- Damage Reduction 10%,- Dwarven Warmachine,- DwarvenHalls Day
Arcane Veil,4: Mythic,"{4, 23}","{4, 23}","- Might {10, 67}",,"- Unchained Efreet
   - The Ember King","- Emberlands Day
   - WyrmrestDesert Night
   - WyrmrestDesert Day"
Bladed Great Helm,4: Mythic,"{17, 115}","{17, 115}","- Might {2, 10}
   - Vitality {3, 20}","- Return Damage Physical Source[""Armor""] * .02f
   - Gain Added Return Damage Physical equal to 2% of your Armor.",- Global Loot,
Bone Jester Mask,4: Mythic,"{9, 58}","{9, 58}","- Vitality {2, 10}
   - Reflex {3, 20}","- Dodge Counter Damage {10,50}%",- The Jester,"- SunkenSwamplands Night
   - SunkenSwamplands Day
   - CastleGloom Day"
Crown of Mana,4: Mythic,,"{9, 58}","- Intelligence {10, 67}",,"- Olgoi, Devourer of Treasure",- DwarvenHalls Day
Dead One's Mind,4: Mythic,"{5, 29}","{5, 29}","- Vitality {2, 10}
   - Intelligence {2, 10}","- Summon Resistance 10%
   - Summon Damage {4,20}%
   - Summon Health {4,20}%",- The Countess,- CastleGloom Day
Discipline,4: Mythic,"{5, 29}","{5, 29}","- Vitality {10, 67}",,- Global Loot,
Ember King's Will,4: Mythic,"{9, 58}","{9, 58}","- Might {3, 15}
   - Vitality {3, 15}","- Fire Damage {5,25}%
   - The wearer gains Level [level value] {SKL=Aura of Flame}.",- The Ember King,- Emberlands Day
Ghost Face,4: Mythic,"{5, 29}","{5, 29}","- Reflex {10, 67}",,- Global Loot,
Golden Valkyrie Helm,4: Mythic,"{9, 58}","{9, 58}","- Might {2, 10}
   - Dexterity {2, 10}","- Skill Range 3
   - Basic attacks have a 25% chance to proc an additional attack once per 
   turn.",- Valkyrie Commander,"- WaterTempleRuins Night
   - WaterTempleRuins Day
   - FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Leviathan Skull,4: Mythic,"{17, 115}","{17, 115}","- Might {5, 29}
   - Vitality {3, 15}","- Health Per Turn {7, 84}","- Black Dragon
   - Blue Dragon
   - Green Dragon
   - Red Dragon","- FreewindForest Night
   - FrostwroughtMountain Night
   - FrostwroughtMountain Day
   - FreewindForest Day
   - CastleGloom Day
   - Emberlands Day"
Night Stalker Mask,4: Mythic,"{5, 29}","{5, 29}","- Dexterity {7, 48}
   - Reflex {3, 20}",- 20% chance to cast Stealth on turn start.,"- Samara the Vampire (Event)
   - The Duke",- CastleGloom Day
Ninja Hood,4: Mythic,"{5, 29}","{5, 29}","- Dexterity {10, 67}",,- Ronin,"- FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Rage Casque,4: Mythic,"{9, 58}","{9, 58}","- Might {3, 20}
   - Vitality {3, 20}",- The wearer gains Berserker's Rage.,- Maximus,
Shako,4: Mythic,"{5, 29}","{5, 29}","- Might {1, 5}
   - Dexterity {1, 5}
   - Vitality {1, 5}
   - Intelligence {1, 5}
   - Reflex {1, 5}","- Max Health 10%
   - Max Mana 10%
   - Damage and Healing {3,15}%
   - Damage Reduction 5%","- Black Dragon
   - Blue Dragon
   - Green Dragon
   - Red Dragon","- FreewindForest Night
   - FrostwroughtMountain Night
   - FrostwroughtMountain Day
   - FreewindForest Day
   - CastleGloom Day
   - Emberlands Day"
Slayer Mask,4: Mythic,"{17, 115}","{17, 115}","- Might {3, 15}
   - Vitality {3, 15}","- Physical Damage {5,25}%
   - % Life Steal 3",- The Baron,- CastleGloom Day
Wolfshead Hood,4: Mythic,"{9, 58}","{9, 58}","- Might {2, 10}
   - Vitality {2, 10}
   - Reflex {2, 10}","- Damage to Physical {1, 17}","- Hod
   - Lagertha
   - Ragnar","- FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Hod's Hood,0: Common,"{6, 41}","{6, 41}",,,- Global Loot,
Tundra Helm,0: Common,"{6, 41}","{6, 41}",,,- Global Loot,
Woodland Helm,0: Common,"{6, 41}","{6, 41}",,,- Global Loot,
